date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:01	36816/36816	U-----	200	untouched ('')	application/javascript	etag:%228fd0-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/bootstrap.min.js	www.iisermohali.ac.in/web/foundation-day/js/bootstrap.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	8835/8835	U-----	200	untouched ('')	application/javascript	etag:%222283-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.waypoints.min.js	www.iisermohali.ac.in/web/foundation-day/js/jquery.waypoints.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	12597/12597	U-----	200	untouched ('')	application/javascript	etag:%223135-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.stellar.min.js	www.iisermohali.ac.in/web/foundation-day/js/jquery.stellar.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	7211/7211	U-----	200	untouched ('')	application/javascript	etag:%221c2b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/superfish.js	www.iisermohali.ac.in/web/foundation-day/js/superfish.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	2581/2581	U-----	200	untouched ('')	application/javascript	etag:%22a15-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/main.js	www.iisermohali.ac.in/web/foundation-day/js/main.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	4938/4938	U-----	200	untouched ('')	application/javascript	etag:%22134a-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/hoverIntent.js	www.iisermohali.ac.in/web/foundation-day/js/hoverIntent.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:01	814/814	---MCZ	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2014:56:42%20GMT	https://fonts.googleapis.com/css?family=Source+Sans+Pro:400,700,300	fonts.googleapis.com/css5111.css	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:26:02	1588/1588	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:56:11%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.eot?1oniuf	www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon6029.eot	(from http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css)
20:26:02	1588/1588	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:56:12%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.ttf?1oniuf	www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon6029.ttf	(from http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css)
20:26:02	1588/1588	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:56:12%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.woff?1oniuf	www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon6029.woff	(from http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css)
20:26:03	1588/1588	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:56:12%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.svg?1oniuf	www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon6029.svg	(from http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css)
20:26:03	20127/20127	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%224e9f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.eot?	www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:26:03	20127/20127	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%224e9f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.eot	www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.eot	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:26:03	18028/18028	U-----	200	untouched ('OK')	text/html	etag:%22466c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.woff2	www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.html	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:26:03	23424/23424	U-----	200	untouched ('')	application/font-woff	etag:%225b80-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.woff	www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.woff	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:26:03	45404/45404	U-----	200	untouched ('')	application/font-sfnt	etag:%22b15c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.ttf	www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.ttf	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:26:03	108738/108738	U-----	200	untouched ('OK')	image/svg+xml	etag:%221a8c2-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.svg	www.iisermohali.ac.in/web/foundation-day/fonts/bootstrap/glyphicons-halflings-regular.svg	(from http://www.iisermohali.ac.in/web/foundation-day/css/bootstrap2.0.css)
20:26:03	224628/224628	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2236d74-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoon.eot?srf3rx	www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoona57c.eot	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:26:03	224464/224464	U-----	200	untouched ('')	application/font-sfnt	etag:%2236cd0-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoon.ttf?srf3rx	www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoona57c.ttf	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:26:03	224540/224540	U-----	200	untouched ('')	application/font-woff	etag:%2236d1c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoon.woff?srf3rx	www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoona57c.woff	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:26:03	788508/788508	U-----	200	untouched ('OK')	image/svg+xml	etag:%22c081c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoon.svg?srf3rx	www.iisermohali.ac.in/web/foundation-day/fonts/icomoon/icomoona57c.svg	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:26:03	41067/41067	U-----	200	untouched ('OK')	text/css	etag:%22a06b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/style.css	www.iisermohali.ac.in/web/foundation-day/css/events/style.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	71553/71553	U-----	200	untouched ('OK')	text/css	etag:%2211781-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/animate.css	www.iisermohali.ac.in/web/foundation-day/css/events/animate.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	51227/51227	U-----	200	untouched ('OK')	text/css	etag:%22c81b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/icomoon.css	www.iisermohali.ac.in/web/foundation-day/css/events/icomoon.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	35134/35134	U-----	200	untouched ('OK')	text/css	etag:%22893e-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/font-awesome.css	www.iisermohali.ac.in/web/foundation-day/css/events/font-awesome.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	492/492	---MCZ	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2014:56:44%20GMT	http://fonts.googleapis.com/css?family=Oleo+Script:400,700	fonts.googleapis.com/css29bd.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	2592/2592	U-----	200	untouched ('OK')	text/css	etag:%22a20-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/superfish2.0.css	www.iisermohali.ac.in/web/foundation-day/css/events/superfish2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	22067/22067	U-----	200	untouched ('OK')	text/css	etag:%225633-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/style2.0.css	www.iisermohali.ac.in/web/foundation-day/css/events/style2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	149256/149256	U-----	200	untouched ('OK')	text/css	etag:%2224708-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/events/bootstrap2.0.css	www.iisermohali.ac.in/web/foundation-day/css/events/bootstrap2.0.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	1588/1588	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:56:13%20GMT	http://www.iisermohali.ac.in/web/foundation-day/images/hourglass.svg	www.iisermohali.ac.in/web/foundation-day/images/hourglass.html	(from http://www.iisermohali.ac.in/web/foundation-day/css/style2.0.css)
20:26:03	2499/2499	---MCZ	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2014:56:44%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic	fonts.googleapis.com/cssaa44.css	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:03	1588/1588	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:56:13%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/events/bootstrap.css	www.iisermohali.ac.in/web/foundation-day/css/events/bootstrap.html	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	758031/758031	U-----	200	untouched ('')	image/jpeg	etag:%22b910f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/gallery-images/12.jpg	www.iisermohali.ac.in/web/foundation-day/images/gallery-images/12.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	45866/45866	U-----	200	untouched ('')	image/jpeg	etag:%22b32a-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/hunt.jpg	www.iisermohali.ac.in/web/foundation-day/images/hunt.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	15413/15413	U-----	200	untouched ('')	application/javascript	etag:%223c35-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/modernizr-2.6.2.min.js	www.iisermohali.ac.in/web/foundation-day/js/events/modernizr-2.6.2.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	2294581/2294581	U-----	200	untouched ('')	image/jpeg	etag:%22230335-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/MM.jpg	www.iisermohali.ac.in/web/foundation-day/images/MM.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	1546657/1546657	U-----	200	untouched ('')	image/jpeg	etag:%221799a1-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/RIA.jpg	www.iisermohali.ac.in/web/foundation-day/images/RIA.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	67642/67642	U-----	200	untouched ('')	image/jpeg	etag:%221083a-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/origami.jpg	www.iisermohali.ac.in/web/foundation-day/images/origami.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	50735/50735	U-----	200	untouched ('')	image/jpeg	etag:%22c62f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/surprise1.jpg	www.iisermohali.ac.in/web/foundation-day/images/surprise1.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	98900/98900	U-----	200	untouched ('')	image/jpeg	etag:%2218254-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/doodle.jpg	www.iisermohali.ac.in/web/foundation-day/images/doodle.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	612447/612447	U-----	200	untouched ('')	image/jpeg	etag:%229585f-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/movie.jpg	www.iisermohali.ac.in/web/foundation-day/images/movie.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	71887/71887	U-----	200	untouched ('')	image/jpeg	etag:%22118cf-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/LE.jpg	www.iisermohali.ac.in/web/foundation-day/images/LE.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	84380/84380	U-----	200	untouched ('')	application/javascript	etag:%221499c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/jquery.min.js	www.iisermohali.ac.in/web/foundation-day/js/events/jquery.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	8111/8111	U-----	200	untouched ('')	application/javascript	etag:%221faf-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/jquery.easing.1.3.js	www.iisermohali.ac.in/web/foundation-day/js/events/jquery.easing.1.3.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	36816/36816	U-----	200	untouched ('')	application/javascript	etag:%228fd0-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/bootstrap.min.js	www.iisermohali.ac.in/web/foundation-day/js/events/bootstrap.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	8835/8835	U-----	200	untouched ('')	application/javascript	etag:%222283-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/jquery.waypoints.min.js	www.iisermohali.ac.in/web/foundation-day/js/events/jquery.waypoints.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	12597/12597	U-----	200	untouched ('')	application/javascript	etag:%223135-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/jquery.stellar.min.js	www.iisermohali.ac.in/web/foundation-day/js/events/jquery.stellar.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	4938/4938	U-----	200	untouched ('')	application/javascript	etag:%22134a-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/hoverIntent.js	www.iisermohali.ac.in/web/foundation-day/js/events/hoverIntent.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	7211/7211	U-----	200	untouched ('')	application/javascript	etag:%221c2b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/superfish.js	www.iisermohali.ac.in/web/foundation-day/js/events/superfish.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	2581/2581	U-----	200	untouched ('')	application/javascript	etag:%22a15-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/events/main.js	www.iisermohali.ac.in/web/foundation-day/js/events/main.js	(from http://www.iisermohali.ac.in/web/foundation-day/events.html)
20:26:04	40166/40166	U-----	200	untouched ('OK')	text/css	etag:%229ce6-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/css/gallery/gallery1.css	www.iisermohali.ac.in/web/foundation-day/css/gallery/gallery1.css	(from http://www.iisermohali.ac.in/web/foundation-day/gallery.html)
