date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:00	146456/146456	------	200	untouched ('')	image/jpeg	etag:%2223c18-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/Lewin.jpg	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/images/Lewin.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	1277303/1277303	------	200	untouched ('')	image/jpeg	etag:%22137d77-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/images/treasure2.jpg	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/images/treasure2.jpg	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	84380/84380	------	200	untouched ('')	application/javascript	etag:%221499c-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.min.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/jquery.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	8111/8111	------	200	untouched ('')	application/javascript	etag:%221faf-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.easing.1.3.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/jquery.easing.1.3.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	36816/36816	------	200	untouched ('')	application/javascript	etag:%228fd0-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/bootstrap.min.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/bootstrap.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	8835/8835	------	200	untouched ('')	application/javascript	etag:%222283-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.waypoints.min.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/jquery.waypoints.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	12597/12597	------	200	untouched ('')	application/javascript	etag:%223135-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/jquery.stellar.min.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/jquery.stellar.min.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	4938/4938	------	200	untouched ('')	application/javascript	etag:%22134a-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/hoverIntent.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/hoverIntent.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	156/156	------	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:50:11%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.eot?1oniuf	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.06029.delayed	(from http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css)
20:22:00	7211/7211	------	200	untouched ('')	application/javascript	etag:%221c2b-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/superfish.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/superfish.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	2581/2581	------	200	untouched ('')	application/javascript	etag:%22a15-5768cb03f7100%22	http://www.iisermohali.ac.in/web/foundation-day/js/main.js	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/js/main.js	(from http://www.iisermohali.ac.in/web/foundation-day/index.html)
20:22:00	156/156	------	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:50:11%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.ttf?1oniuf	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.16029.delayed	(from http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css)
20:22:00	156/156	------	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:50:12%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.woff?1oniuf	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.26029.delayed	(from http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css)
20:22:00	156/156	------	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202019%2014:50:12%20GMT	http://www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.svg?1oniuf	C:/Users/dhruv/Desktop/Foundation%20Day/www.iisermohali.ac.in/web/foundation-day/css/fonts/icomoon.36029.delayed	(from http://www.iisermohali.ac.in/web/foundation-day/css/icomoon.css)
